count,weekday,year,community_area,primary_type
1,1,2007,53,10
18,1,2007,53,11
153,1,2007,53,14
16,1,2007,53,15
6,1,2007,53,16
3,1,2007,53,17
174,1,2007,53,18
3,1,2007,53,19
5,1,2007,53,20
8,1,2007,53,24
112,1,2007,53,26
2,1,2007,54,02
12,1,2007,54,03
7,1,2007,54,04A
6,1,2007,54,04B
14,1,2007,54,05
19,1,2007,54,06
9,1,2007,54,07
18,1,2007,54,08A
48,1,2007,54,08B
1,1,2007,54,09
32,1,2007,54,14
6,1,2007,54,15
30,1,2007,54,18
1,1,2007,54,19
2,1,2007,54,20
27,1,2007,54,26
2,1,2007,55,03
1,1,2007,55,04A
1,1,2007,55,04B
9,1,2007,55,05
29,1,2007,55,06
8,1,2007,55,07
5,1,2007,55,08A
13,1,2007,55,08B
1,1,2007,55,10
3,1,2007,55,11
1,1,2007,55,12
26,1,2007,55,14
6,1,2007,55,18
2,1,2007,55,24
19,1,2007,55,26
3,1,2007,56,02
14,1,2007,56,03
6,1,2007,56,04A
6,1,2007,56,04B
25,1,2007,56,05
133,1,2007,56,06
22,1,2007,56,07
29,1,2007,56,08A
58,1,2007,56,08B
1,1,2007,56,09
2,1,2007,56,10
29,1,2007,56,11
75,1,2007,56,14
18,1,2007,56,15
38,1,2007,56,16
4,1,2007,56,17
28,1,2007,56,18
1,1,2007,56,19
1,1,2007,56,20
1,1,2007,56,22
5,1,2007,56,24
64,1,2007,56,26
2,1,2007,57,01A
3,1,2007,57,03
3,1,2007,57,04A
2,1,2007,57,04B
22,1,2007,57,05
74,1,2007,57,06
14,1,2007,57,07
8,1,2007,57,08A
20,1,2007,57,08B
1,1,2007,57,09
3,1,2007,57,10
12,1,2007,57,11
48,1,2007,57,14
1,1,2007,57,15
5,1,2007,57,16
2,1,2007,57,17
12,1,2007,57,18
1,1,2007,57,22
3,1,2007,57,24
26,1,2007,57,26
1,1,2007,58,01A
3,1,2007,58,02
17,1,2007,58,03
9,1,2007,58,04A
19,1,2007,58,04B
57,1,2007,58,05
116,1,2007,58,06
37,1,2007,58,07
21,1,2007,58,08A
87,1,2007,58,08B
2,1,2007,58,09
5,1,2007,58,10
13,1,2007,58,11
90,1,2007,58,14
3,1,2007,58,15
37,1,2007,58,16
5,1,2007,58,17
41,1,2007,58,18
5,1,2007,58,20
1,1,2007,58,22
8,1,2007,58,24
64,1,2007,58,26
1,1,2007,59,02
7,1,2007,59,03
2,1,2007,59,04A
6,1,2007,59,04B
13,1,2007,59,05
83,1,2007,59,06
9,1,2007,59,07
8,1,2007,59,08A
32,1,2007,59,08B
1,1,2007,59,10
6,1,2007,59,11
50,1,2007,59,14
2,1,2007,59,15
2,1,2007,59,17
17,1,2007,59,18
2,1,2007,59,20
4,1,2007,59,22
1,1,2007,59,24
23,1,2007,59,26
1,1,2007,60,01A
1,1,2007,60,02
8,1,2007,60,03
6,1,2007,60,04A
9,1,2007,60,04B
30,1,2007,60,05
82,1,2007,60,06
16,1,2007,60,07
25,1,2007,60,08A
43,1,2007,60,08B
2,1,2007,60,09
4,1,2007,60,10
15,1,2007,60,11
1,1,2007,60,12
71,1,2007,60,14
1,1,2007,60,15
4,1,2007,60,16
1,1,2007,60,17
17,1,2007,60,18
2,1,2007,60,20
1,1,2007,60,24
41,1,2007,60,26
1,1,2007,61,01A
14,1,2007,61,02
51,1,2007,61,03
32,1,2007,61,04A
52,1,2007,61,04B
78,1,2007,61,05
238,1,2007,61,06
37,1,2007,61,07
67,1,2007,61,08A
234,1,2007,61,08B
7,1,2007,61,09
7,1,2007,61,10
21,1,2007,61,11
4,1,2007,61,13
176,1,2007,61,14
17,1,2007,61,15
54,1,2007,61,16
6,1,2007,61,17
207,1,2007,61,18
7,1,2007,61,19
4,1,2007,61,20
3,1,2007,61,22
32,1,2007,61,24
112,1,2007,61,26
4,1,2007,62,03
3,1,2007,62,04A
4,1,2007,62,04B
31,1,2007,62,05
58,1,2007,62,06
10,1,2007,62,07
13,1,2007,62,08A
24,1,2007,62,08B
1,1,2007,62,09
1,1,2007,62,10
12,1,2007,62,11
55,1,2007,62,14
1,1,2007,62,15
2,1,2007,62,17
17,1,2007,62,18
1,1,2007,62,20
2,1,2007,62,24
18,1,2007,62,26
1,1,2007,63,01A
5,1,2007,63,02
